"","seed","nsim","ntaxa","lambda","mu","nu","M","Y","d_0","model","ngt","q","q10","q11","q12","q2","q3","A","A1","A2","B","C","C1","C2","D"
"1",9321,200,4,0.1,0.01,0.05,0.5,0.25,2,1,200,200,186,6,4,4,0,8,4,4,8,2,0,2,0
"2",9322,200,6,0.1,0.01,0.05,0.5,0.25,2,1,200,3000,2710,158,63,66,3,129,63,66,129,20,0,20,0
"3",9323,200,8,0.1,0.01,0.05,0.5,0.25,2,1,200,14000,12536,910,253,277,24,530,253,277,530,44,0,44,0
"4",9324,200,4,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,200,200,179,12,3,6,0,9,3,6,9,1,0,1,0
"5",9325,200,6,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,200,3000,2617,227,62,94,0,156,62,94,156,22,0,22,0
"6",9326,200,8,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,200,14000,12616,835,253,282,14,535,253,282,535,101,1,100,0
"7",9327,200,4,1,0.1,0.5,0.5,0.25,0.2,1,200,200,187,8,2,3,0,5,2,3,5,5,2,3,0
"8",9328,200,6,1,0.1,0.5,0.5,0.25,0.2,1,200,3000,2657,232,33,74,4,107,33,74,107,52,0,52,0
"9",9329,200,8,1,0.1,0.5,0.5,0.25,0.2,1,200,14000,12538,1053,148,261,0,409,148,261,409,151,0,151,0
"10",9330,200,4,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,200,200,187,4,1,8,0,9,1,8,9,6,0,6,0
"11",9331,200,6,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,200,3000,2677,184,60,79,0,139,60,79,139,67,9,58,0
"12",9332,200,8,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,200,14000,12646,878,264,212,0,476,264,212,476,155,17,138,0
"13",9333,200,4,0.1,0.09,0.05,0.5,0.25,2,1,200,200,182,7,4,7,0,11,4,7,11,2,0,2,0
"14",9334,200,6,0.1,0.09,0.05,0.5,0.25,2,1,200,3000,2655,221,46,75,3,121,46,75,121,12,0,12,0
"15",9335,200,8,0.1,0.09,0.05,0.5,0.25,2,1,200,14000,12480,1124,192,204,0,396,192,204,396,20,0,20,0
"16",9336,200,4,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,200,200,180,14,1,5,0,6,1,5,6,3,0,3,0
"17",9337,200,6,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,200,3000,2605,212,85,94,4,179,85,94,179,24,0,24,0
"18",9338,200,8,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,200,14000,12648,936,191,205,20,396,191,205,396,66,4,62,0
"19",9339,200,4,1,0.9,0.5,0.5,0.25,0.2,1,200,200,173,16,2,9,0,11,2,9,11,7,0,7,0
"20",9340,200,6,1,0.9,0.5,0.5,0.25,0.2,1,200,3000,2715,179,42,61,3,103,42,61,103,32,0,32,0
"21",9341,200,8,1,0.9,0.5,0.5,0.25,0.2,1,200,14000,12245,1222,213,320,0,533,213,320,533,176,5,171,0
"22",9342,200,4,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,200,200,174,10,5,11,0,16,5,11,16,5,0,5,0
"23",9343,200,6,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,200,3000,2670,224,52,54,0,106,52,54,106,37,8,29,0
"24",9344,200,8,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,200,14000,12079,1294,362,243,22,605,362,243,605,193,37,156,0
"25",9345,200,4,0.1,0.01,0.05,0.25,0.25,2,1,200,200,184,11,2,3,0,5,2,3,5,0,0,0,0
"26",9346,200,6,0.1,0.01,0.05,0.25,0.25,2,1,200,3000,2711,187,50,52,0,102,50,52,102,3,0,3,0
"27",9347,200,8,0.1,0.01,0.05,0.25,0.25,2,1,200,14000,12394,1170,231,205,0,436,231,205,436,35,0,35,0
"28",9348,200,4,0.3,0.03,0.15,0.25,0.25,0.666666666666667,1,200,200,184,9,3,4,0,7,3,4,7,1,0,1,0
