,seed,nsim,ntaxa,lambda,mu,nu,M,Y,d_0,model,ngt,ngenes,rho,q,q10,q11,q12,q2,q3,A,A1,A2,B,C,C1,C2,D0good,D0anom,D0ambi,D1good,D1anom,D1ambi,D2good,D2anom,D2ambi,D0g_ex,D0a_ex,D1g_ex,D1a_ex,D2g_ex,D2a_ex,time
1,9321,800,4,0.1,0.01,0.05,0.5,0.25,2,1,300,300,0,800,740,22,13,25,0,38,13,25,38,2,0,2,748,0,14,13,0,0,12,1,12,762,0,13,0,24,1,76.017
2,9322,800,6,0.1,0.01,0.05,0.5,0.25,2,1,300,299.9,0,12000,11004,596,197,199,4,396,197,199,396,44,4,40,11473,0,127,193,0,4,82,0,117,11600,0,193,4,199,0,142.888
3,9323,800,8,0.1,0.01,0.05,0.5,0.25,2,1,300,299.951785714286,0,56000,50492,3639,782,1078,9,1860,782,1078,1860,198,0,198,53778,0,353,782,0,0,374,3,701,54131,0,782,0,1076,2,411.165
4,9324,800,4,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,300,299.25,0,800,744,23,8,23,2,31,8,23,31,2,0,2,718,0,49,6,0,2,4,0,19,767,0,8,0,23,0,73.691
5,9325,800,6,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,300,299.925,0,12000,10828,749,167,253,3,420,167,253,420,79,2,77,11217,0,360,155,0,12,29,0,224,11577,0,165,2,253,0,146.093
6,9326,800,8,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,300,299.817857142857,0,56000,50052,3754,1238,922,34,2160,1238,922,2160,338,7,331,52271,7,1528,1191,0,47,59,6,857,53806,0,1237,1,912,10,438.966
7,9327,800,4,1,0.1,0.5,0.5,0.25,0.2,1,300,300,0,800,739,28,14,19,0,33,14,19,33,9,1,8,650,1,116,12,0,2,3,0,16,767,0,14,0,19,0,77.109
8,9328,800,6,1,0.1,0.5,0.5,0.25,0.2,1,300,299.775,0,12000,10776,706,210,299,9,509,210,299,509,146,1,145,9862,25,1595,196,0,14,0,2,297,11482,0,209,1,292,7,148.334
9,9329,800,8,1,0.1,0.5,0.5,0.25,0.2,1,300,299.85,0,56000,50033,3636,1218,1085,28,2303,1218,1085,2303,646,17,629,47803,4,5862,1064,0,154,22,13,1050,53669,0,1216,2,1085,0,424.287
10,9330,800,4,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,300,300,0,800,746,19,10,25,0,35,10,25,35,18,1,17,465,3,297,6,0,4,0,0,25,765,0,10,0,25,0,76.49
11,9331,800,6,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,300,299.925,0,12000,10847,693,217,240,3,457,217,240,457,142,22,120,8595,0,2945,137,0,80,0,3,237,11540,0,217,0,237,3,155.141
12,9332,800,8,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,300,299.8875,0,56000,50772,3405,849,953,21,1802,849,953,1802,656,73,583,39174,17,14986,572,7,270,1,5,947,54177,0,835,14,943,10,410.284
13,9333,800,4,0.1,0.09,0.05,0.5,0.25,2,1,300,300,0,800,737,25,8,30,0,38,8,30,38,6,0,6,740,0,22,8,0,0,10,0,20,762,0,8,0,30,0,79.918
14,9334,800,6,0.1,0.09,0.05,0.5,0.25,2,1,300,299.8,0,12000,10556,890,223,323,8,546,223,323,546,34,0,34,11325,0,121,223,0,0,139,0,184,11446,0,223,0,323,0,155.567
15,9335,800,8,0.1,0.09,0.05,0.5,0.25,2,1,300,299.7375,0,56000,48636,5103,1226,986,49,2212,1226,986,2212,172,6,166,53371,0,368,1206,0,20,328,2,656,53739,0,1216,10,986,0,429.437
16,9336,800,4,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,300,300,0,800,714,41,15,30,0,45,15,30,45,12,2,10,699,2,54,13,0,2,3,0,27,755,0,14,1,30,0,78.811
17,9337,800,6,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,300,299.8,0,12000,10459,974,270,289,8,559,270,289,559,102,1,101,11059,1,373,257,0,13,22,0,267,11433,0,270,0,286,3,167.009
18,9338,800,8,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,300,299.496428571429,0,56000,48442,4910,1450,1104,94,2554,1450,1104,2554,302,0,302,52369,2,981,1426,0,24,96,1,1007,53352,0,1450,0,1104,0,427.657
19,9339,800,4,1,0.9,0.5,0.5,0.25,0.2,1,300,300,0,800,725,35,17,23,0,40,17,23,40,18,1,17,617,0,143,12,0,5,0,0,23,760,0,17,0,23,0,77.055
20,9340,800,6,1,0.9,0.5,0.5,0.25,0.2,1,300,299.775,0,12000,10657,852,182,300,9,482,182,300,482,183,16,167,10016,14,1479,129,0,53,0,0,300,11509,0,173,9,300,0,158.681
21,9341,800,8,1,0.9,0.5,0.5,0.25,0.2,1,300,299.914285714286,0,56000,48876,4885,1318,905,16,2223,1318,905,2223,518,26,492,50368,4,3389,1162,0,156,5,4,896,53761,0,1296,22,889,16,446.741
22,9342,800,4,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,300,299.625,0,800,726,39,11,23,1,34,11,23,34,14,2,12,437,0,328,3,1,7,0,0,23,765,0,10,1,23,0,77.084
23,9343,800,6,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,300,299.9,0,12000,10666,845,217,268,4,485,217,268,485,193,19,174,8590,5,2916,105,1,111,1,0,267,11511,0,214,3,268,0,160.965
24,9344,800,8,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,300,299.871428571429,0,56000,48932,4898,1116,1030,24,2146,1116,1030,2146,677,50,627,41383,74,12373,784,0,332,4,10,1016,53830,0,1111,5,1026,4,421.576
25,9345,800,4,0.1,0.01,0.05,0.25,0.25,2,1,300,300,0,800,744,35,9,12,0,21,9,12,21,3,0,3,770,0,9,9,0,0,6,0,6,779,0,9,0,12,0,75.645
26,9346,800,6,0.1,0.01,0.05,0.25,0.25,2,1,300,299.9,0,12000,10986,668,189,153,4,342,189,153,342,28,0,28,11552,0,102,184,0,5,52,0,101,11654,0,189,0,153,0,150.988
27,9347,800,8,0.1,0.01,0.05,0.25,0.25,2,1,300,300,0,56000,51006,3570,885,539,0,1424,885,539,1424,87,5,82,54083,0,493,875,0,10,120,0,419,54576,0,885,0,539,0,410.111
28,9348,800,4,0.3,0.03,0.15,0.25,0.25,0.666666666666667,1,300,300,0,800,735,36,15,14,0,29,15,14,29,6,1,5,735,0,36,14,0,1,1,0,13,771,0,15,0,14,0,94.614
29,9349,800,6,0.3,0.03,0.15,0.25,0.25,0.666666666666667,1,300,299.9,0,12000,11047,622,151,176,4,327,151,176,327,72,4,68,11210,1,458,133,0,18,11,2,163,11669,0,149,2,176,0,151.815
30,9350,800,8,0.3,0.03,0.15,0.25,0.25,0.666666666666667,1,300,299.844642857143,0,56000,51361,3239,753,618,29,1371,753,618,1371,196,0,196,52997,12,1591,736,0,17,74,13,531,54600,0,753,0,610,8,430.914
31,9351,800,4,1,0.1,0.5,0.25,0.25,0.2,1,300,300,0,800,739,31,11,19,0,30,11,19,30,14,1,13,677,0,93,7,0,4,0,0,19,770,0,11,0,18,1,77.295
32,9352,800,6,1,0.1,0.5,0.25,0.25,0.2,1,300,300,0,12000,11053,632,173,142,0,315,173,142,315,82,5,77,10407,0,1278,130,0,43,9,0,133,11685,0,173,0,142,0,152.837
33,9353,800,8,1,0.1,0.5,0.25,0.25,0.2,1,300,300,0,56000,51060,3556,785,599,0,1384,785,599,1384,380,22,358,49436,44,5136,672,0,113,3,15,581,54616,0,784,1,599,0,422.065
34,9354,800,4,3,0.3,1.5,0.25,0.25,0.0666666666666667,1,300,300,0,800,739,35,7,19,0,26,7,19,26,8,1,7,532,2,240,5,0,2,1,0,18,774,0,7,0,19,0,77.383
