,seed,nsim,ntaxa,lambda,mu,nu,M,Y,d_0,model,ngt,ngenes,rho,q,q10,q11,q12,q2,q3,A,A1,A2,B,C,C1,C2,D0good,D0anom,D0ambi,D1good,D1anom,D1ambi,D2good,D2anom,D2ambi,D0g_ex,D0a_ex,D1g_ex,D1a_ex,D2g_ex,D2a_ex,time
1,7652,800,4,0.1,0.01,0.05,0.5,0.25,2,1,300,300,0,800,728,37,12,23,0,35,12,23,35,2,0,2,753,0,12,12,0,0,11,0,12,765,0,12,0,23,0,74.783
2,7653,800,4,0.3,0.03,0.15,0.5,0.25,0.666666666666667,1,300,300,0,800,750,25,4,21,0,25,4,21,25,8,0,8,726,0,49,4,0,0,1,0,20,775,0,4,0,21,0,72.274
3,7654,800,4,1,0.1,0.5,0.5,0.25,0.2,1,300,300,0,800,735,34,13,18,0,31,13,18,31,7,0,7,649,1,119,10,0,3,1,0,17,769,0,13,0,18,0,74.795
4,7655,800,4,3,0.3,1.5,0.5,0.25,0.0666666666666667,1,300,300,0,800,730,29,7,34,0,41,7,34,41,23,1,22,458,0,301,5,0,2,0,0,34,759,0,6,1,34,0,75.983
5,7656,800,4,0.1,0.09,0.05,0.5,0.25,2,1,300,300,0,800,726,27,13,34,0,47,13,34,47,5,0,5,734,0,19,13,0,0,14,0,20,753,0,13,0,34,0,72.965
6,7657,800,4,0.3,0.27,0.15,0.5,0.25,0.666666666666667,1,300,299.625,0,800,730,30,8,31,1,39,8,31,39,15,0,15,721,1,38,8,0,0,0,0,31,760,0,8,0,31,0,77.939
7,7658,800,4,1,0.9,0.5,0.5,0.25,0.2,1,300,299.625,0,800,704,43,19,33,1,52,19,33,52,17,0,17,623,0,124,16,0,3,0,0,33,747,0,19,0,33,0,73.121
8,7659,800,4,3,2.7,1.5,0.5,0.25,0.0666666666666667,1,300,299.625,0,800,719,41,14,25,1,39,14,25,39,19,4,15,413,2,345,7,1,6,0,1,24,760,0,14,0,25,0,78.608
9,7660,800,4,0.1,0.01,0.05,0.25,0.25,2,1,300,300,0,800,737,34,10,19,0,29,10,19,29,1,0,1,758,0,13,10,0,0,9,0,10,771,0,10,0,19,0,76.63
10,7661,800,4,0.3,0.03,0.15,0.25,0.25,0.666666666666667,1,300,299.625,0,800,742,26,9,22,1,31,9,22,31,7,0,7,720,0,48,9,0,0,0,0,22,768,0,9,0,22,0,75.978
11,7662,800,4,1,0.1,0.5,0.25,0.25,0.2,1,300,299.625,0,800,740,36,8,15,1,23,8,15,23,12,1,11,679,0,97,6,0,2,0,0,15,776,0,8,0,15,0,78.196
12,7663,800,4,3,0.3,1.5,0.25,0.25,0.0666666666666667,1,300,300,0,800,734,36,15,15,0,30,15,15,30,13,2,11,554,0,216,8,0,7,0,0,15,770,0,15,0,15,0,77.808
13,7664,800,4,0.1,0.09,0.05,0.25,0.25,2,1,300,300,0,800,737,36,13,14,0,27,13,14,27,0,0,0,754,0,19,13,0,0,4,0,10,773,0,13,0,14,0,75.665
14,7665,800,4,0.3,0.27,0.15,0.25,0.25,0.666666666666667,1,300,300,0,800,729,39,11,21,0,32,11,21,32,8,1,7,708,0,60,10,1,0,2,1,18,768,0,10,1,21,0,76.656
15,7666,800,4,1,0.9,0.5,0.25,0.25,0.2,1,300,300,0,800,738,42,6,14,0,20,6,14,20,7,0,7,609,2,169,4,0,2,0,0,14,780,0,6,0,14,0,77.193
16,7667,800,4,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,300,300,0,800,734,39,7,20,0,27,7,20,27,11,0,11,508,3,262,5,0,2,0,0,20,773,0,7,0,20,0,76.728
17,7668,800,4,0.1,0.01,0.05,0.5,0.25,6,1,300,299.625,0,800,656,50,22,71,1,93,22,71,93,11,0,11,695,0,11,22,0,0,44,0,27,706,0,22,0,71,0,76.589
18,7669,800,4,0.3,0.03,0.15,0.5,0.25,2,1,300,299.25,0,800,660,43,26,69,2,95,26,69,95,14,0,14,658,0,45,23,0,3,27,0,42,703,0,26,0,68,1,82.564
19,7670,800,4,1,0.1,0.5,0.5,0.25,0.6,1,300,300,0,800,637,68,24,71,0,95,24,71,95,28,1,27,608,0,97,21,0,3,7,0,64,705,0,24,0,70,1,76.539
20,7671,800,4,3,0.3,1.5,0.5,0.25,0.2,1,300,300,0,800,642,61,27,70,0,97,27,70,97,39,1,38,427,0,276,9,0,18,0,0,70,703,0,23,4,68,2,75.391
21,7672,800,4,0.1,0.09,0.05,0.5,0.25,6,1,300,299.625,0,800,590,78,32,99,1,131,32,99,131,11,2,9,659,0,9,30,1,1,65,0,34,668,0,30,2,99,0,82.874
22,7673,800,4,0.3,0.27,0.15,0.5,0.25,2,1,300,299.25,0,800,600,76,29,93,2,122,29,93,122,17,2,15,633,0,43,25,0,4,31,1,61,676,0,27,2,91,2,78.416
23,7674,800,4,1,0.9,0.5,0.5,0.25,0.6,1,300,299.25,0,800,591,84,33,90,2,123,33,90,123,27,1,26,535,3,137,28,0,5,4,3,83,675,0,31,2,89,1,77.13
